,action,cos,sin,omega,reward
147,0.2217213362455368,0.998917281627655,-0.0465216189622879,0.04116446152329445,-0.0026073919143527746
148,-0.19975030422210693,0.9988614916801453,-0.04770476743578911,-0.02368929795920849,-0.0023751757107675076
149,0.31951263546943665,0.9988337755203247,-0.04828115180134773,-0.011540979146957397,-0.0024356800131499767
150,0.18761086463928223,0.9987859725952148,-0.049260497093200684,-0.019610213115811348,-0.0023814004380255938
151,0.07690836489200592,0.9986725449562073,-0.05150860175490379,-0.04501933231949806,-0.0024729326833039522
152,-0.21498161554336548,0.9983572959899902,-0.05729491636157036,-0.1158980280160904,-0.002904376946389675
153,0.8583270311355591,0.9982698559761047,-0.05879838392138481,-0.030120156705379486,-0.005366266239434481
154,0.38708576560020447,0.9982220530509949,-0.05960477143526077,-0.01615607924759388,-0.0037017990835011005
155,0.672950804233551,0.9983395338058472,-0.05760406702756882,0.040082965046167374,-0.004035908728837967
156,0.2556453049182892,0.9984394311904907,-0.05584556609392166,0.03522671014070511,-0.003547924105077982
157,-0.20014792680740356,0.9983353018760681,-0.05767659470438957,-0.03667965531349182,-0.0032861263025552034
158,0.16231949627399445,0.9981711506843567,-0.0604511983692646,-0.05558917671442032,-0.0034911721013486385
159,0.17908875644207,0.9979404211044312,-0.0641472190618515,-0.07406426221132278,-0.003999895881861448
160,0.39734601974487305,0.9977348446846008,-0.06726909428834915,-0.06257276982069016,-0.004826957359910011
161,0.4069082736968994,0.9975566267967224,-0.06986239552497864,-0.051988352090120316,-0.0050890822894871235
162,0.8174090385437012,0.9976198673248291,-0.06895327568054199,0.01822621189057827,-0.005827151704579592
163,0.6335037350654602,0.9978273510932922,-0.06588344275951385,0.06153681129217148,-0.005196655634790659
164,0.8022106289863586,0.9982417821884155,-0.05927364155650139,0.13245582580566406,-0.005369142629206181
165,-0.15947765111923218,0.9984265565872192,-0.05607502907514572,0.06407894939184189,-0.0052973744459450245
166,0.610000491142273,0.9987287521362305,-0.05040694773197174,0.11352275311946869,-0.0039304220117628574
